Year,CoC Number,CoC Name,Overall Homeless,Sheltered ES Homeless,Sheltered TH Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Sheltered ES Homeless Individuals,Sheltered TH Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Overall Homeless People in Families,Sheltered ES Homeless People in Families,Sheltered TH Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Overall Homeless Family Households,Sheltered ES Homeless Family Households,Sheltered TH Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Overall Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals
2008,MO-503,"St. Charles City & County, Lincoln, Warren Counties CoC",593.0,157.0,148.0,305.0,288.0,253.0,65.0,61.0,126.0,127.0,340.0,92.0,87.0,179.0,161.0,123.0,33.0,32.0,65.0,58.0,35.0,23.0,12.0
2008,MO-600,"Springfield/Greene, Christian, Webster Counties CoC",713.0,136.0,370.0,506.0,207.0,451.0,106.0,198.0,304.0,147.0,262.0,30.0,172.0,202.0,60.0,115.0,12.0,53.0,65.0,50.0,91.0,4.0,87.0
2008,MO-602,"Joplin/Jasper, Newton Counties CoC",380.0,63.0,244.0,307.0,73.0,282.0,55.0,154.0,209.0,73.0,98.0,8.0,90.0,98.0,0.0,31.0,2.0,29.0,31.0,0.0,14.0,11.0,3.0
2008,MO-603,"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",159.0,94.0,37.0,131.0,28.0,72.0,45.0,6.0,51.0,21.0,87.0,49.0,31.0,80.0,7.0,21.0,11.0,9.0,20.0,1.0,17.0,14.0,3.0
2008,MO-604a,"Kansas City, Independence, Lee’s Summit/Jackson, Wyandotte Counties, MO & KS",2260.0,1041.0,628.0,1669.0,591.0,1262.0,650.0,255.0,905.0,357.0,998.0,391.0,373.0,764.0,234.0,292.0,116.0,113.0,229.0,63.0,570.0,448.0,122.0
2008,MO-606,Missouri Balance of State CoC,1904.0,837.0,392.0,1229.0,675.0,1066.0,380.0,212.0,592.0,474.0,838.0,457.0,180.0,637.0,201.0,258.0,143.0,57.0,200.0,58.0,205.0,146.0,59.0
2008,MS-500,"Jackson/Rankin, Madison Counties CoC",1302.0,245.0,550.0,795.0,507.0,1208.0,217.0,486.0,703.0,505.0,94.0,28.0,64.0,92.0,2.0,28.0,9.0,18.0,27.0,1.0,656.0,342.0,314.0
2008,MS-501,Mississippi Balance of State CoC,385.0,131.0,213.0,344.0,41.0,233.0,84.0,108.0,192.0,41.0,152.0,47.0,105.0,152.0,0.0,42.0,11.0,31.0,42.0,0.0,99.0,70.0,29.0
2008,MS-503,Gulf Port/Gulf Coast Regional CoC,274.0,40.0,27.0,67.0,207.0,256.0,29.0,24.0,53.0,203.0,18.0,11.0,3.0,14.0,4.0,7.0,4.0,1.0,5.0,2.0,122.0,5.0,117.0
2008,MT-500,Montana Statewide CoC,1417.0,578.0,429.0,1007.0,410.0,968.0,428.0,189.0,617.0,351.0,449.0,150.0,240.0,390.0,59.0,154.0,49.0,84.0,133.0,21.0,138.0,46.0,92.0
2008,NC-500,Winston-Salem/Forsyth County CoC,452.0,278.0,145.0,423.0,29.0,366.0,265.0,72.0,337.0,29.0,86.0,13.0,73.0,86.0,0.0,28.0,5.0,23.0,28.0,0.0,141.0,136.0,5.0
2008,NC-501,Asheville/Buncombe County CoC,509.0,266.0,163.0,429.0,80.0,407.0,206.0,124.0,330.0,77.0,102.0,60.0,39.0,99.0,3.0,34.0,17.0,14.0,31.0,3.0,175.0,112.0,63.0
2008,NC-502,Durham City & County CoC,590.0,339.0,215.0,554.0,36.0,474.0,268.0,170.0,438.0,36.0,116.0,71.0,45.0,116.0,0.0,38.0,27.0,11.0,38.0,0.0,105.0,69.0,36.0
2008,NC-503,North Carolina Balance of State CoC,2742.0,1348.0,482.0,1830.0,912.0,1513.0,751.0,261.0,1012.0,501.0,1229.0,597.0,221.0,818.0,411.0,453.0,210.0,73.0,283.0,170.0,291.0,105.0,186.0
2008,NC-504,"Greensboro, High Point CoC",987.0,415.0,464.0,879.0,108.0,680.0,321.0,263.0,584.0,96.0,307.0,94.0,201.0,295.0,12.0,95.0,26.0,64.0,90.0,5.0,101.0,51.0,50.0
2008,NC-505,Charlotte/Mecklenberg CoC,1988.0,796.0,754.0,1550.0,438.0,1519.0,618.0,471.0,1089.0,430.0,469.0,178.0,283.0,461.0,8.0,170.0,56.0,106.0,162.0,8.0,261.0,232.0,29.0
2008,NC-506,"Wilmington/Brunswick, New Hanover, Pender Counties CoC",496.0,229.0,198.0,427.0,69.0,319.0,169.0,83.0,252.0,67.0,177.0,60.0,115.0,175.0,2.0,44.0,20.0,23.0,43.0,1.0,106.0,77.0,29.0
2008,NC-507,Raleigh/Wake County CoC,1144.0,681.0,390.0,1071.0,73.0,826.0,513.0,240.0,753.0,73.0,318.0,168.0,150.0,318.0,0.0,122.0,50.0,72.0,122.0,0.0,109.0,91.0,18.0
2008,NC-509,"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",920.0,206.0,51.0,257.0,663.0,760.0,153.0,39.0,192.0,568.0,160.0,53.0,12.0,65.0,95.0,50.0,16.0,5.0,21.0,29.0,105.0,7.0,98.0
2008,NC-511,Fayetteville/Cumberland County CoC,1074.0,104.0,162.0,266.0,808.0,606.0,79.0,15.0,94.0,512.0,468.0,25.0,147.0,172.0,296.0,117.0,9.0,29.0,38.0,79.0,115.0,14.0,101.0
2008,NC-513,Chapel Hill/Orange County CoC,195.0,83.0,94.0,177.0,18.0,156.0,80.0,61.0,141.0,15.0,39.0,3.0,33.0,36.0,3.0,15.0,1.0,13.0,14.0,1.0,58.0,50.0,8.0
2008,NC-516,Northwest North Carolina CoC,1314.0,118.0,44.0,162.0,1152.0,1123.0,82.0,33.0,115.0,1008.0,191.0,36.0,11.0,47.0,144.0,65.0,12.0,5.0,17.0,48.0,260.0,20.0,240.0
2008,ND-500,North Dakota Statewide CoC,615.0,394.0,202.0,596.0,19.0,375.0,259.0,103.0,362.0,13.0,240.0,135.0,99.0,234.0,6.0,72.0,42.0,28.0,70.0,2.0,51.0,50.0,1.0
