CoC Number,CoC Name,Overall Homeless,Sheltered ES Homeless,Sheltered TH Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Sheltered ES Homeless Individuals,Sheltered TH Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Overall Homeless People in Families,Sheltered ES Homeless People in Families,Sheltered TH Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Overall Homeless Family Households,Sheltered ES Homeless Family Households,Sheltered TH Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Overall Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Year
VA-501,"Norfolk, Chesapeake, Suffolk/Isle of Wight, Southampton Counties CoC",699.0,410.0,133.0,543.0,156.0,513.0,306.0,67.0,373.0,140.0,186.0,104.0,66.0,170.0,16.0,76.0,41.0,20.0,61.0,15.0,112.0,74.0,38.0,2007
VA-502,"Roanoke City & County, Salem CoC",566.0,334.0,194.0,528.0,38.0,485.0,290.0,157.0,447.0,38.0,81.0,44.0,37.0,81.0,0.0,31.0,17.0,14.0,31.0,0.0,168.0,130.0,38.0,2007
VA-503,Virginia Beach CoC,476.0,262.0,168.0,430.0,46.0,178.0,117.0,28.0,145.0,33.0,298.0,145.0,140.0,285.0,13.0,94.0,47.0,43.0,90.0,4.0,60.0,41.0,19.0,2007
VA-504,Charlottesville CoC,265.0,152.0,85.0,237.0,28.0,196.0,129.0,39.0,168.0,28.0,69.0,23.0,46.0,69.0,0.0,22.0,4.0,18.0,22.0,0.0,31.0,29.0,2.0,2007
VA-505,"Newport News, Hampton/Virginia Peninsula CoC",908.0,393.0,176.0,569.0,339.0,562.0,262.0,97.0,359.0,203.0,346.0,131.0,79.0,210.0,136.0,100.0,38.0,25.0,63.0,37.0,247.0,107.0,140.0,2007
VA-507,Portsmouth CoC,217.0,97.0,68.0,165.0,52.0,137.0,62.0,23.0,85.0,52.0,80.0,35.0,45.0,80.0,0.0,30.0,17.0,13.0,30.0,0.0,42.0,10.0,32.0,2007
VA-508,Lynchburg CoC,289.0,48.0,50.0,98.0,191.0,224.0,39.0,22.0,61.0,163.0,65.0,9.0,28.0,37.0,28.0,27.0,4.0,11.0,15.0,12.0,59.0,21.0,38.0,2007
VA-513,"Harrisburg, Winchester/Western Virginia CoC",382.0,228.0,98.0,326.0,56.0,195.0,140.0,12.0,152.0,43.0,187.0,88.0,86.0,174.0,13.0,61.0,30.0,23.0,53.0,8.0,36.0,21.0,15.0,2007
VA-514,"Fredericksburg/Spotsylvania, Stafford Counties CoC",561.0,489.0,26.0,515.0,46.0,88.0,44.0,0.0,44.0,44.0,473.0,445.0,26.0,471.0,2.0,181.0,171.0,9.0,180.0,1.0,65.0,29.0,36.0,2007
VA-521,Virginia Balance of State CoC,970.0,495.0,212.0,707.0,263.0,505.0,269.0,72.0,341.0,164.0,465.0,226.0,140.0,366.0,99.0,170.0,87.0,50.0,137.0,33.0,96.0,69.0,27.0,2007
VA-600,Arlington County CoC,462.0,116.0,127.0,243.0,219.0,325.0,94.0,12.0,106.0,219.0,137.0,22.0,115.0,137.0,0.0,42.0,7.0,35.0,42.0,0.0,273.0,54.0,219.0,2007
VA-601,Fairfax County CoC,1593.0,462.0,977.0,1439.0,154.0,647.0,309.0,184.0,493.0,154.0,946.0,153.0,793.0,946.0,0.0,270.0,44.0,226.0,270.0,0.0,335.0,207.0,128.0,2007
VA-602,Loudoun County CoC,211.0,67.0,47.0,114.0,97.0,81.0,9.0,4.0,13.0,68.0,130.0,58.0,43.0,101.0,29.0,38.0,18.0,12.0,30.0,8.0,52.0,3.0,49.0,2007
VA-603,Alexandria CoC,375.0,162.0,121.0,283.0,92.0,230.0,93.0,45.0,138.0,92.0,145.0,69.0,76.0,145.0,0.0,48.0,21.0,27.0,48.0,0.0,114.0,51.0,63.0,2007
